,_id,_type,attr
1385,4610.0,Male,Eye Mask
1386,4610.0,Male,Earring
1387,4611.0,Male,Big Shades
1388,4611.0,Male,Medical Mask
1389,4611.0,Male,Cowboy Hat
1390,4612.0,Female,Pilot Helmet
1391,4612.0,Female,Purple Lipstick
1392,4612.0,Female,Earring
1393,4613.0,Male,Frumpy Hair
1394,4613.0,Male,Regular Shades
1395,4614.0,Male,Earring
1396,4614.0,Male,Nerd Glasses
1397,4614.0,Male,Do-rag
1398,4615.0,Female,Regular Shades
1399,4615.0,Female,Half Shaved
1400,4615.0,Female,Purple Lipstick
1401,4616.0,Female,Cap
1402,4616.0,Female,Clown Nose
1403,4616.0,Female,Blue Eye Shadow
1404,4617.0,Female,Big Shades
1405,4617.0,Female,Black Lipstick
1406,4617.0,Female,Frumpy Hair
1407,4618.0,Male,Classic Shades
1408,4618.0,Male,Earring
1409,4618.0,Male,Do-rag
1410,4619.0,Female,Orange Side
1411,4620.0,Male,Cap Forward
1412,4620.0,Male,Big Shades
1413,4620.0,Male,Muttonchops
1414,4620.0,Male,Mole
1415,4621.0,Female,Tassle Hat
1416,4621.0,Female,Green Eye Shadow
1417,4622.0,Female,Messy Hair
1418,4622.0,Female,Regular Shades
1419,4622.0,Female,Purple Lipstick
1420,4623.0,Male,Nerd Glasses
1421,4623.0,Male,Goat
1422,4623.0,Male,Mohawk
1423,4624.0,Female,Cap
1424,4624.0,Female,Black Lipstick
1425,4625.0,Female,Cap
1426,4625.0,Female,Big Shades
1427,4625.0,Female,Hot Lipstick
1428,4625.0,Female,Earring
1429,4626.0,Female,Messy Hair
1430,4626.0,Female,Regular Shades
1431,4627.0,Female,Clown Hair Green
1432,4627.0,Female,Welding Goggles
1433,4628.0,Male,Peak Spike
1434,4628.0,Male,Muttonchops
1435,4628.0,Male,VR
1436,4629.0,Male,Knitted Cap
1437,4629.0,Male,Big Beard
1438,4630.0,Female,Black Lipstick
1439,4630.0,Female,Mohawk
1440,4630.0,Female,VR
1441,4631.0,Male,Purple Hair
1442,4631.0,Male,Mustache
1443,4632.0,Male,Vampire Hair
1444,4632.0,Male,Frown
1445,4632.0,Male,Chinstrap
1446,4632.0,Male,Earring
1447,4633.0,Male,Stringy Hair
1448,4633.0,Male,Big Beard
1449,4634.0,Female,Vape
1450,4634.0,Female,Crazy Hair
1451,4635.0,Male,Cap Forward
1452,4635.0,Male,Earring
1453,4635.0,Male,Normal Beard
1454,4635.0,Male,Eye Patch
1455,4636.0,Male,Frumpy Hair
1456,4636.0,Male,Regular Shades
1457,4637.0,Female,Red Mohawk
1458,4637.0,Female,Black Lipstick
1459,4637.0,Female,Silver Chain
1460,4637.0,Female,Cigarette
1461,4638.0,Female,Messy Hair
1462,4638.0,Female,Black Lipstick
1463,4638.0,Female,Welding Goggles
1464,4639.0,Female,Wild White Hair
1465,4639.0,Female,Silver Chain
1466,4640.0,Male,Frown
1467,4640.0,Male,Nerd Glasses
1468,4640.0,Male,Top Hat
1469,4641.0,Female,Purple Eye Shadow
1470,4641.0,Female,Wild Blonde
1471,4641.0,Female,Cigarette
1472,4642.0,Male,Muttonchops
1473,4642.0,Male,Fedora
1474,4642.0,Male,Horned Rim Glasses
1475,4642.0,Male,Mole
1476,4643.0,Female,Mohawk
1477,4643.0,Female,Green Eye Shadow
1478,4643.0,Female,Hot Lipstick
1479,4644.0,Male,Bandana
1480,4644.0,Male,Gold Chain
1481,4644.0,Male,Big Beard
1482,4645.0,Male,Frumpy Hair
1483,4645.0,Male,Classic Shades
1484,4646.0,Male,Police Cap
1485,4646.0,Male,Earring
1486,4646.0,Male,Small Shades
1487,4647.0,Male,Front Beard Dark
1488,4647.0,Male,Earring
1489,4647.0,Male,Top Hat
1490,4647.0,Male,Mole
1491,4648.0,Male,Muttonchops
1492,4648.0,Male,Shaved Head
1493,4649.0,Male,Earring
1494,4649.0,Male,Normal Beard
1495,4649.0,Male,Shaved Head
1496,4650.0,Male,Front Beard
1497,4650.0,Male,Mohawk Thin
1498,4650.0,Male,Earring
1499,4651.0,Male,Mohawk Thin
1500,4651.0,Male,Shadow Beard
1501,4651.0,Male,Smile
1502,4652.0,Female,Mohawk Thin
1503,4652.0,Female,Purple Lipstick
1504,4652.0,Female,Clown Eyes Blue
1505,4653.0,Male,Cigarette
1506,4653.0,Male,Hoodie
1507,4653.0,Male,Spots
1508,4653.0,Male,Horned Rim Glasses
1509,4654.0,Female,Pigtails
1510,4654.0,Female,Eye Patch
1511,4654.0,Female,Purple Lipstick
1512,4655.0,Male,Wild Hair
1513,4655.0,Male,Earring
1514,4655.0,Male,Normal Beard
1515,4655.0,Male,Pipe
1516,4656.0,Female,Blonde Short
1517,4656.0,Female,Classic Shades
1518,4657.0,Male,Cigarette
1519,4657.0,Male,Shaved Head
1520,4657.0,Male,Eye Patch
1521,4658.0,Male,Earring
1522,4658.0,Male,Goat
1523,4658.0,Male,Mole
1524,4659.0,Male,Wild Hair
1525,4659.0,Male,3D Glasses
1526,4660.0,Male,Vampire Hair
1527,4660.0,Male,Front Beard Dark
1528,4660.0,Male,Earring
1529,4660.0,Male,Eye Patch
1530,4661.0,Male,Eye Mask
1531,4661.0,Male,Cap Forward
1532,4662.0,Male,Cigarette
1533,4662.0,Male,Cap
1534,4662.0,Male,Muttonchops
1535,4662.0,Male,Classic Shades
1536,4663.0,Male,Mohawk Thin
1537,4663.0,Male,Horned Rim Glasses
1538,4664.0,Female,Mole
1539,4664.0,Female,Mohawk Thin
1540,4664.0,Female,Purple Lipstick
1541,4665.0,Male,Fedora
1542,4665.0,Male,Normal Beard
1543,4666.0,Female,Black Lipstick
1544,4666.0,Female,Green Eye Shadow
1545,4666.0,Female,Straight Hair Dark
1546,4667.0,Male,Cigarette
1547,4667.0,Male,Bandana
1548,4667.0,Male,Normal Beard Black
1549,4667.0,Male,Frown
1550,4668.0,Male,Hoodie
1551,4668.0,Male,Earring
1552,4668.0,Male,Clown Eyes Green
1553,4668.0,Male,Mole
1554,4669.0,Male,Frown
1555,4669.0,Male,Wild Hair
1556,4669.0,Male,Earring
1557,4669.0,Male,Small Shades
1558,4669.0,Male,Mole
1559,4670.0,Male,Clown Eyes Blue
1560,4670.0,Male,Normal Beard Black
1561,4670.0,Male,Do-rag
1562,4671.0,Female,Clown Nose
1563,4671.0,Female,Crazy Hair
1564,4672.0,Male,Earring
1565,4672.0,Male,Horned Rim Glasses
1566,4672.0,Male,Mohawk
1567,4673.0,Female,Black Lipstick
1568,4673.0,Female,Nerd Glasses
1569,4674.0,Female,Black Lipstick
1570,4674.0,Female,Pigtails
1571,4674.0,Female,Clown Eyes Blue
1572,4675.0,Female,Bandana
1573,4675.0,Female,VR
1574,4676.0,Female,Rosy Cheeks
1575,4676.0,Female,Blonde Bob
1576,4677.0,Female,Welding Goggles
1577,4677.0,Female,Dark Hair
1578,4677.0,Female,Earring
1579,4678.0,Male,Cap Forward
1580,4678.0,Male,Mustache
1581,4678.0,Male,Earring
1582,4678.0,Male,Horned Rim Glasses
1583,4678.0,Male,Mole
1584,4679.0,Male,Pipe
1585,4679.0,Male,Do-rag
1586,4680.0,Male,Eye Mask
1587,4680.0,Male,Hoodie
1588,4680.0,Male,Shadow Beard
1589,4680.0,Male,Mole
1590,4681.0,Female,Medical Mask
1591,4681.0,Female,Crazy Hair
1592,4682.0,Female,Messy Hair
1593,4682.0,Female,Earring
1594,4682.0,Female,Nerd Glasses
1595,4683.0,Male,Hoodie
1596,4683.0,Male,Handlebars
1597,4683.0,Male,Earring
1598,4683.0,Male,VR
1599,4684.0,Male,Cigarette
1600,4684.0,Male,Shadow Beard
1601,4684.0,Male,Earring
1602,4684.0,Male,Do-rag
1603,4685.0,Male,Police Cap
1604,4685.0,Male,Mustache
1605,4686.0,Male,Cigarette
1606,4686.0,Male,Buck Teeth
1607,4686.0,Male,Fedora
1608,4687.0,Female,Vape
1609,4687.0,Female,Clown Eyes Blue
1610,4688.0,Male,Cigarette
1611,4688.0,Male,Earring
1612,4688.0,Male,Do-rag
1613,4689.0,Male,Cigarette
1614,4689.0,Male,Normal Beard
1615,4690.0,Male,Clown Eyes Blue
1616,4690.0,Male,Cap Forward
1617,4690.0,Male,Earring
1618,4691.0,Male,Frumpy Hair
1619,4691.0,Male,Eye Patch
1620,4691.0,Male,Mole
1621,4692.0,Male,Pipe
1622,4692.0,Male,Mohawk
1623,4693.0,Female,Eye Patch
1624,4693.0,Female,Wild Hair
1625,4694.0,Male,Smile
1626,4694.0,Male,Do-rag
1627,4695.0,Male,Normal Beard
1628,4695.0,Male,Crazy Hair
1629,4696.0,Female,Cap
1630,4696.0,Female,Big Shades
1631,4696.0,Female,Earring
1632,4697.0,Male,Luxurious Beard
1633,4697.0,Male,Headband
1634,4697.0,Male,Smile
1635,4698.0,Male,Cigarette
1636,4698.0,Male,Headband
1637,4698.0,Male,Big Beard
1638,4699.0,Male,Peak Spike
1639,4699.0,Male,Eye Patch
1640,4700.0,Female,Messy Hair
1641,4700.0,Female,Purple Lipstick
1642,4700.0,Female,Cigarette
1643,4701.0,Male,Cigarette
1644,4701.0,Male,Crazy Hair
1645,4701.0,Male,Clown Eyes Green
1646,4702.0,Female,Tassle Hat
1647,4702.0,Female,Eye Mask
1648,4702.0,Female,Purple Lipstick
1649,4702.0,Female,Earring
1650,4703.0,Male,Earring
1651,4703.0,Male,Horned Rim Glasses
1652,4703.0,Male,Knitted Cap
1653,4704.0,Female,Clown Eyes Green
1654,4704.0,Female,Headband
1655,4705.0,Male,Mohawk Thin
1656,4705.0,Male,Small Shades
1657,4706.0,Male,Eye Mask
1658,4706.0,Male,Cap Forward
1659,4706.0,Male,Chinstrap
1660,4706.0,Male,Earring
1661,4707.0,Male,Police Cap
1662,4707.0,Male,Nerd Glasses
1663,4707.0,Male,Smile
1664,4708.0,Male,Police Cap
1665,4708.0,Male,Earring
1666,4708.0,Male,Eye Patch
1667,4709.0,Male,Shadow Beard
1668,4710.0,Female,Black Lipstick
1669,4710.0,Female,Blonde Short
1670,4710.0,Female,Regular Shades
1671,4711.0,Female,Eye Patch
1672,4711.0,Female,Hot Lipstick
1673,4711.0,Female,Straight Hair Dark
1674,4712.0,Female,Wild Blonde
1675,4712.0,Female,Earring
